actual,pred_raw,pred_raw_se,pred_binary
0.0,0.6701559027036031,0.007770973167896969,1
1.0,0.7583900292714437,0.011914776590999694,1
0.0,0.21834071973959604,0.058635323845787485,0
0.0,0.9233002463976542,0.03348536134503063,1
0.0,0.554971973101298,0.006550355097627671,0
0.0,0.05791886430233717,0.03273858366145517,0
0.0,0.7361512780189514,0.017724635857735024,1
1.0,0.7915578881899515,0.022668178834503165,1
0.0,0.05516805251439413,0.01355832425538818,0
0.0,0.592405358950297,0.014287885421390102,0
0.0,0.2949379285176595,0.02161692242581056,0
0.0,0.276903972029686,0.017939652083899898,0
0.0,0.4835892120997111,0.06168292119375977,0
0.0,0.06117130753894647,0.013726827617486724,0
0.0,0.7976341048876444,0.02281497499239951,1
0.0,0.24373745918273926,0.030405512710321134,0
0.0,0.17833283046881357,0.031067780037312646,0
0.0,0.5183414816856384,0.028485515583506874,0
0.0,0.23430117964744568,0.026358075972903884,0
0.0,0.2205724616845449,0.023780351478992084,0
0.0,0.22620620826880136,0.008419589783701656,0
0.0,0.677400012811025,0.005586215271020355,1
0.0,0.034408655017614365,0.00854275871552855,0
0.0,0.8088484605153402,0.01924219054859189,1
0.0,0.03584114213784536,0.010363358981543435,0
1.0,0.7292608221371969,0.00834326604261062,1
0.0,0.1278828357656797,0.010873892345945156,0
0.0,0.17597503711779913,0.0395456537923474,0
0.0,0.11483812456329663,0.04450773353977565,0
0.0,0.025108580322315294,0.01206595163479986,0
0.0,0.43163273731867474,0.06471330517928352,0
1.0,0.6914233366648356,0.0032184081300457453,1
0.0,0.1749363678197066,0.06818731722290831,0
0.0,0.20031380653381348,0.009346989821534115,0
1.0,0.6328829725583395,0.027265223820240946,1
0.0,0.05498650607963403,0.01663524712216515,0
0.0,0.48717622955640155,0.04475733088729115,0
0.0,0.1550542339682579,0.021123193752413394,0
0.0,0.29169276853402454,0.04220574615272944,0
0.0,0.2783539146184921,0.04843458836892918,0
0.0,0.7609944939613342,0.016882940729211135,1
0.0,0.607278029123942,0.010274721042242415,0
0.0,0.6076310873031616,0.015360301189320455,0
0.0,0.4197218120098114,0.03820712348856373,0
0.0,0.16357024759054184,0.02701025353169253,0
0.0,0.7167066931724548,0.034074082038631257,1
1.0,0.7483971913655599,0.03501558018179138,1
0.0,0.47352250417073566,0.01910161093548638,0
0.0,0.553979774316152,0.023079947903324762,0
0.0,0.5800348122914633,0.006175446664254947,0
0.0,0.42647690574328107,0.05652413091723505,0
0.0,0.3056280016899109,0.02195922802864573,0
0.0,0.6454177697499593,0.005619209653976118,1
0.0,0.08601795385281245,0.009123937393424656,0
0.0,0.711094319820404,0.03204030644471483,1
0.0,0.1834648201862971,0.012048492424002502,0
0.0,0.5113519827524821,0.04214241262578831,0
0.0,0.524600108464559,0.005906823615782395,0
0.0,0.1605181246995926,0.03621217672024021,0
0.0,0.6316870450973511,0.0038265202879016864,1
0.0,0.7248456080754598,0.003296967609996572,1
0.0,0.10069575533270836,0.03223144754236886,0
0.0,0.15055022637049356,0.004319715587021632,0
0.0,0.6353684862454733,0.009740042274593123,1
0.0,0.2996688187122345,0.014734605680748717,0
0.0,0.12344102934002876,0.05778093324245365,0
1.0,0.21699555466572443,0.046046847952662236,0
0.0,0.09283588578303655,0.0355957898517609,0
0.0,0.20743868003288904,0.042581250184439895,0
0.0,0.7876018484433492,0.0017038077672014034,1
0.0,0.0538774865369002,0.013508932169733432,0
0.0,0.7821378509203593,0.04546498086861454,1
0.0,0.17350109914938608,0.0031916420571713915,0
1.0,0.5276549657185873,0.007825997819874054,0
0.0,0.4985943039258321,0.018682332317500952,0
0.0,0.18164590994517008,0.02864653516117198,0
0.0,0.8754838109016418,0.027783291456495624,1
0.0,0.4981301824251811,0.049649950447339226,0
0.0,0.4460589985052745,0.04694729018104925,0
0.0,0.17380188902219137,0.04911860385571347,0
0.0,0.3102327634890874,0.03432380437851494,0
0.0,0.7132059137026469,0.03957440125236105,1
0.0,0.0927170713742574,0.014650386961556598,0
0.0,0.16560834646224976,0.011711523376907809,0
0.0,0.038558028638362885,0.005052524069075943,0
0.0,0.1817897160847982,0.06399404286942523,0
0.0,0.24298072357972464,0.023530563019975154,0
0.0,0.0871409997344017,0.00426185552250811,0
0.0,0.7270907362302145,0.012172133886890492,1
0.0,0.20338313778241476,0.025791915354242318,0
0.0,0.5494059423605601,0.044083564651045695,0
0.0,0.7720379034678141,0.01651572929678937,1
0.0,0.25086236993471783,0.05273326429891231,0
0.0,0.7606021960576376,0.025319887461575822,1
0.0,0.31913910309473675,0.030700264913946878,0
0.0,0.09293902230759461,0.037231013665473066,0
0.0,0.5254086554050446,0.0318219476228031,0
0.0,0.2853846450646718,0.018737161558169416,0
0.0,0.6539532343546549,0.017194802658209152,1
0.0,0.16507454216480255,0.0021343098963891873,0
0.0,0.269654244184494,0.04801055605134515,0
0.0,0.6886264483133951,0.014397952120385096,1
0.0,0.0930229149137934,0.03596653549738527,0
0.0,0.9007388949394226,0.015878598389203004,1
0.0,0.14150995264450708,0.05349015943093029,0
0.0,0.3788452943166097,0.018717057338102458,0
0.0,0.7340408166249593,0.019082761280718234,1
0.0,0.1945265531539917,0.019913528257514853,0
0.0,0.07251946069300175,0.03655507932689243,0
0.0,0.7484517693519592,0.014580425609954529,1
1.0,0.656117836634318,0.024885767307597294,1
0.0,0.6723792950312296,0.05411589159760827,1
0.0,0.29260125756263733,0.008042176585211338,0
0.0,0.10076980541149776,0.03256046406090364,0
0.0,0.798162043094635,0.02069454421355581,1
0.0,0.23657852411270142,0.048767702660890574,0
0.0,0.6874466141064962,0.007116195075613963,1
0.0,0.10452847058574359,0.05111281720931258,0
0.0,0.40321751435597736,0.034279481531350846,0
0.0,0.5563360850016276,0.013498184819371241,0
0.0,0.9100144902865092,0.025766246934832326,1
0.0,0.18213230123122534,0.052794867674019676,0
1.0,0.4863939682642619,0.016331183659900887,0
1.0,0.3724166850248973,0.07802061177599875,0
0.0,0.6474393606185913,0.006659291051062029,1
0.0,0.8191890517870585,0.029366983045215053,1
0.0,0.7335322101910909,0.009597690085455848,1
0.0,0.7115480899810791,0.0032369204635518795,1
0.0,0.646945854028066,0.019826678377212525,1
0.0,0.6543986797332764,0.06191860746712444,1
1.0,0.8253046671549479,0.007920046174137614,1
0.0,0.03801927839716276,0.010434775127413217,0
0.0,0.31778337558110553,0.002355866555683821,0
0.0,0.15656145413716635,0.017226444589292764,0
1.0,0.6462686061859131,0.01528545051221906,1
0.0,0.7548850774765015,0.026585669588013415,1
0.0,0.7571056087811788,0.001892468681019133,1
0.0,0.13842779894669852,0.010265741169472268,0
0.0,0.0900298443933328,0.044971902153719635,0
0.0,0.3235454857349396,0.040695389526951405,0
0.0,0.7499419450759888,0.024384992935168347,1
0.0,0.0918541041513284,0.028436764565128354,0
0.0,0.5129568378130595,0.024888988918032585,0
0.0,0.17679106444120407,0.026640199898495694,0
0.0,0.28914204239845276,0.020088570068015104,0
0.0,0.7178535660107931,0.009787068693385437,1
0.0,0.6040646433830261,0.018414982906692638,0
0.0,0.6923340757687887,0.0022136950163591357,1
0.0,0.374233936270078,0.053451414503525245,0
0.0,0.7699084480603536,0.04537679616227687,1
0.0,0.6753945350646973,0.03730688715853159,1
0.0,0.3565313716729482,0.042664348348955015,0
0.0,0.5783171653747559,0.019644500032329395,0
0.0,0.023328433899829786,0.013981180540028386,0
0.0,0.6601786017417908,0.0268897655204428,1
0.0,0.5762090086936951,0.03462537813590511,0
0.0,0.04517953594525655,0.013593428373090601,0
0.0,0.39465195933977765,0.03595804947894043,0
0.0,0.34382401903470355,0.03677957787246286,0
0.0,0.7613029281298319,0.022478094502036427,1
0.0,0.5191765427589417,0.03134273927001318,0
0.0,0.609084943930308,0.02632874090409789,0
0.0,0.08971656206995249,0.041003379131096196,0
0.0,0.24410200119018555,0.0073854285290925,0
0.0,0.6784924070040385,0.010932824705232718,1
0.0,0.6509343783060709,0.002023224325811498,1
0.0,0.626386841138204,0.024259921501535466,1
0.0,0.5152541697025299,0.018100001283544786,0
0.0,0.2518129696448644,0.01580813691427811,0
0.0,0.5656454761823019,0.015069946930846964,0
0.0,0.6892429987589518,0.014116061493354964,1
0.0,0.10936038320263226,0.023133286747581437,0
0.0,0.16791725407044092,0.03350722717955912,0
0.0,0.5499339799086252,0.05329885886486159,0
0.0,0.4122156798839569,0.03373191583982292,0
0.0,0.5157394409179688,0.025679440339490444,0
0.0,0.6534807085990906,0.0213305945508662,1
0.0,0.5070283611615499,0.018466032418268268,0
0.0,0.6076080997784933,0.017114719190647866,0
0.0,0.21404806772867838,0.004131391400124927,0
0.0,0.1426698286086321,0.0724183151273717,0
0.0,0.14041351030270258,0.020994946682147964,0
0.0,0.5235116481781006,0.028750392041206368,0
0.0,0.1664452627301216,0.0433786834118789,0
0.0,0.7377064426740011,0.017680509472065415,1
0.0,0.11578812450170517,0.01025289622893387,0
0.0,0.6358917554219564,0.028535394048409966,1
1.0,0.808775266011556,0.022871106456717395,1
0.0,0.038362026757871114,0.019864129030620792,0
